arm,alpha,k,verdict,n,feature,mean
local_tight,1.0,4.0,reject_background,174,class_margin,-0.0455
local_tight,1.0,4.0,reject_background,174,evidence_margin,-0.0372
local_tight,1.0,4.0,reject_localisation,530,sim_at_1,0.9366
local_tight,1.0,4.0,reject_localisation,530,agreement_at_k,0.7823
local_tight,1.0,4.0,reject_localisation,530,class_margin,0.0363
local_tight,1.0,4.0,reject_localisation,530,evidence_margin,-0.0228
local_tight,1.0,4.0,relabel,128,sim_at_1,0.9568
local_tight,1.0,4.0,relabel,128,agreement_at_k,0.0
local_tight,1.0,4.0,relabel,128,class_margin,-0.1222
local_tight,1.0,4.0,relabel,128,evidence_margin,-0.0041
local,0.5,2.0,accept,531,sim_at_1,0.9553
local,0.5,2.0,accept,531,agreement_at_k,0.9992
local,0.5,2.0,accept,531,class_margin,0.1254
local,0.5,2.0,accept,531,evidence_margin,0.0029
local,0.5,2.0,adjust,403,sim_at_1,0.9456
local,0.5,2.0,adjust,403,agreement_at_k,0.9985
local,0.5,2.0,adjust,403,class_margin,0.1221
local,0.5,2.0,adjust,403,evidence_margin,-0.005
local,0.5,2.0,reject_background,174,sim_at_1,0.8412
local,0.5,2.0,reject_background,174,agreement_at_k,0.1195
local,0.5,2.0,reject_background,174,class_margin,-0.0567
local,0.5,2.0,reject_background,174,evidence_margin,-0.0668
local,0.5,2.0,reject_localisation,530,sim_at_1,0.9206
local,0.5,2.0,reject_localisation,530,agreement_at_k,0.986
local,0.5,2.0,reject_localisation,530,class_margin,0.093
local,0.5,2.0,reject_localisation,530,evidence_margin,-0.0257
local,0.5,2.0,relabel,128,sim_at_1,0.9431
local,0.5,2.0,relabel,128,agreement_at_k,0.0047
local,0.5,2.0,relabel,128,class_margin,-0.1634
local,0.5,2.0,relabel,128,evidence_margin,-0.0064
local,0.5,8.0,accept,531,sim_at_1,0.943
local,0.5,8.0,accept,531,agreement_at_k,0.9989
local,0.5,8.0,accept,531,class_margin,0.1224
local,0.5,8.0,accept,531,evidence_margin,0.003
local,0.5,8.0,adjust,403,sim_at_1,0.9356
local,0.5,8.0,adjust,403,agreement_at_k,0.999
local,0.5,8.0,adjust,403,class_margin,0.1183
local,0.5,8.0,adjust,403,evidence_margin,-0.0035
local,0.5,8.0,reject_background,174,sim_at_1,0.835
local,0.5,8.0,reject_background,174,agreement_at_k,0.1333
local,0.5,8.0,reject_background,174,class_margin,-0.055
local,0.5,8.0,reject_background,174,evidence_margin,-0.0644
local,0.5,8.0,reject_localisation,530,sim_at_1,0.9149
local,0.5,8.0,reject_localisation,530,agreement_at_k,0.9875
local,0.5,8.0,reject_localisation,530,class_margin,0.0947
local,0.5,8.0,reject_localisation,530,evidence_margin,-0.0206
local,0.5,8.0,relabel,128,sim_at_1,0.9327
local,0.5,8.0,relabel,128,agreement_at_k,0.0063
local,0.5,8.0,relabel,128,class_margin,-0.1447
local,0.5,8.0,relabel,128,evidence_margin,-0.0043
